COUNTRY,FREQUENCY,PRICES TYPES,INDICATOR,UNIT,DATA STATUS,DATA SOURCES,DATA CONFIDENTIALITY,NAS_SNA_SYSTEM,NAS_FISCAL_YEAR,OBS_COMMENTS,TIME_PERIOD,OBS_VALUE
Kuwait,Annual,Current prices,Oil sector at current prices,"United States Dollar, Million",,,,,,,2024,69536.15275614185
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2010,50942.66579566528
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2011,56255.19406461905
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2012,60285.177463393156
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2013,63511.11901262868
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2014,63706.708597941004
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2015,65114.82911838865
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2016,66918.45153871474
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2017,70017.0882704967
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2018,72909.2281416849
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2019,78660.21417381149
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2020,74665.95601035719
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2021,86556.9562427043
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2022,85949.1895968034
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2023,87421.75631478845
Kuwait,Annual,Current prices,Non-oil sector at current prices,"United States Dollar, Million",,,,,,,2024,90685.97247820107
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2010,115447.78033813866
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2011,131419.27926673682
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2012,138154.28562342445
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2013,137916.75692210667
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2014,138159.29648700223
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2015,131427.5138351531
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2016,134691.3454166843
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2017,127881.20603406141
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2018,131952.6212485563
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2019,134204.37841431543
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2020,126680.10387120643
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2021,130715.14821228207
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2022,137483.96142553067
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2023,134752.65207985358
Kuwait,Annual,Constant prices 2010=100,Gross domestic product by oil and non-oil sectors at constant prices,"United States Dollar, Million",,,,,,,2024,131510.85019423824
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2010,64505.11454247337
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2011,77726.01150178153
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2012,84213.93357906853
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2013,81616.9086444879
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2014,80322.86170452679
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2015,75381.58350075442
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2016,76598.95473939109
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2017,69265.42251069192
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2018,71200.1069056408
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2019,70080.78807562724
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2020,63607.16473156899
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2021,64014.95522175029
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2022,70680.50653893371
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2023,67506.03314329917
Kuwait,Annual,Constant prices 2010=100,Oil sector at constant prices,"United States Dollar, Million",,,,,,,2024,62953.78835992119
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2010,50942.665795665285
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2011,53693.267764955315
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2012,53940.35204435595
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2013,56299.84827761879
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2014,57836.43478247541
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2015,56045.93033439867
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2016,58092.3906772932
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2017,58615.78352336949
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2018,60752.5143429155
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2019,64123.59033868817
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2020,63072.93913963744
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2021,66700.19299053178
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2022,66803.45488659694
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2023,67246.61893655441
Kuwait,Annual,Constant prices 2010=100,Non-oil sector at constant prices,"United States Dollar, Million",,,,,,,2024,68557.0618343174
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2010-Q1,125.2915129153992
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2010-Q2,123.2875374102342
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2010-Q3,129.37375235539855
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2010-Q4,143.63176639837266
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2011-Q1,140.0414467019971
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2011-Q2,177.5282333837444
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2011-Q3,174.06851542523506
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2011-Q4,184.69454576946438
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2012-Q1,174.88538879034036
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2012-Q2,154.25363691843302
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2012-Q3,149.92165468912947
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2012-Q4,147.544500932749
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2013-Q1,127.06315706362263
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2013-Q2,128.10194779977033
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2013-Q3,125.29317853173542
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2013-Q4,238.5439745971721
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2014-Q1,166.25901349535246
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2014-Q2,196.1563939583509
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2014-Q3,180.23618093202825
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2014-Q4,190.23519624141667
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2015-Q1,178.27957974973717
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2015-Q2,167.71501083757332
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2015-Q3,127.66781978995628
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2015-Q4,142.9991751133792
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2016-Q1,143.25221834094418
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2016-Q2,150.3203011671318
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2016-Q3,132.56563690650484
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2016-Q4,141.2263524116894
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2017-Q1,156.04107659510194
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2017-Q2,168.40451901925658
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2017-Q3,155.44898988342504
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2017-Q4,153.9890782766657
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2018-Q1,161.98356249290427
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2018-Q2,155.89640930501923
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2018-Q3,148.21176108577333
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2018-Q4,152.26449274348613
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2019-Q1,130.36613819871855
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2019-Q2,126.6280839199051
