Country,Country,Track,Track,Indicator,Indicator,Citizen,Citizen,Sex,Sex,Units,Frequency,Frequency,TIME_PERIOD,OBS_VALUE
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2002,23
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2003,27
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2004,39
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2005,28
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2006,91
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2007,110
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2008,130
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2012,130
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2013,130
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2014,130
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2015,717
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2016,847
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2017,1079
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2018,1255
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2019,1475
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2020,932
