COUNTRY,UNIT,FREQUENCY,INDICATOR,TIME_PERIOD,OBS_VALUE,DATA SOURCES,OBS_COMMENTS,DATA STATUS,DATA CONFIDENTIALITY
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-04,64.790000000000006,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-05,64.739999999999995,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-06,64.739999999999995,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-07,64.739999999999995,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-08,64.739999999999995,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-09,64.73,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-10,64.650000000000006,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-11,64.739999999999995,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-12,64.66,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-01,64.73,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-02,64.69,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-03,64.900000000000006,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-04,64.900000000000006,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-05,64.900000000000006,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-06,91.04,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-07,91.04,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-08,91.04,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-09,90.88,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-10,90.84,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-11,90.78,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2017-12,90.84,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-01,99.68,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-02,99.77,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-03,99.83,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-04,99.76,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-05,99.74,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-06,99.68,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-07,99.74,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-08,99.77,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-09,100.32,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-10,100.61,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2018-11,100.59,,,,
