COUNTRY,UNIT,FREQUENCY,INDICATOR,TIME_PERIOD,OBS_VALUE,DATA SOURCES,OBS_COMMENTS,DATA STATUS,DATA CONFIDENTIALITY
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-07,123.69,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-08,123.48,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-09,123.95,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-10,124.69,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-11,124.61,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2023-12,124.21,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-01,124.57,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-02,124.09,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-03,123.19,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-04,123.47,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-05,124.37,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-06,124.53,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-07,124.15,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-08,124.62,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-09,124.96,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-10,124.75,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-11,125,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2024-12,125.18,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2025-01,125.57,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2025-02,125.36,,,,
Saudi Arabia,Index,Monthly,Food and non-alcoholic beverages,2025-03,125.7,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-01,54.69,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-02,55.1,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-03,55.15,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-04,55.46,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-05,55.47,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-06,55.47,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-07,55.4,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-08,55.47,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-09,55.47,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-10,55.48,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-11,55.47,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2015-12,55.11,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-01,55.5,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-02,55.68,,,,
Saudi Arabia,Index,Monthly,"""Alcoholic beverages, tobacco and narcotics""",2016-03,64.28,,,,
