Dataflow,GCCSTAT.PSS:DF_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataflow Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure,GCCSTAT.PSS:DSD_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Name,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Name,Track,Track Name,Indicator,Indicator Name,Citizen,Citizen Name,Sex,Sex Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,91,69,71,77,60,73,,
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,1165,1106,1197,1223,1224,1204,,
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,7205,4833,5325,5498,5201,5261,,
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,7908,8239,8264,8837,8811,8766,,
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,65,25,67,63,49,50,,
KN_TTL,GCC,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,54,53,108,64,51,55,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,159,133,266,289,266,292,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,3329,3337,3503,6895,3464,6982,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,4791,3784,3971,4286,3903,4176,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,3030,3152,3188,3733,3759,3866,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,62,43,73,51,70,20,,
KN_TTL,GCC,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,1118,1100,1109,2543,1100,2481,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,1077,1057,1051,1047,942,844,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,2621,2608,2600,2628,2408,2394,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,19004,18912,19213,20022,19831,20275,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,12292,12226,12377,11387,11612,11320,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,1008,837,834,856,757,766,,
KN_TTL,GCC,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,6477,5763,5418,5423,5022,3774,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,1159,900,1532,762,498,887,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,367,432,733,542,443,463,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,2274,1170,1636,1526,771,1120,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,337,334,598,492,363,373,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,1412,585,501,337,170,306,,
KN_TTL,GCC,T6,Ownership of property,KN_A12,No. of GCC Citizens Owning Real Estate in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,7333,6436,4898,4732,3125,3368,,
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,17433,18333,19885,20647,21027,21791,,
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,4164,4596,5479,6021,6350,6455,,
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,14437,15607,17243,18769,19540,20109,,
