dimension,equal_weight,pca_whole_weight
Trade,0.2,0.2834858089749441
Labor,0.2,0.21781435006238026
Convergence,0.1,0.18285080490633515
Financial,0.2,0.13249581365862995
Sustainability,0.1,0.09962057798907648
Infrastructure,0.2,0.08373264440863416
