iCode,Parent,equal_weight,pca_dim_weight
ind_conv_oil,Convergence,0.2,0.2910191756447675
ind_conv_non_oil,Convergence,0.2,0.2437796173173853
ind_conv_income,Convergence,0.2,0.2075030287542132
ind_conv_manufacturing,Convergence,0.2,0.20408343607933127
ind_conv_price,Convergence,0.2,0.053614742204302825
ind_31_fdi,Financial,0.14285714285714285,0.6501871171733052
ind_bank_depth,Financial,0.14285714285714285,0.18799645360001707
ind_39_banking,Financial,0.14285714285714285,0.1472570860296094
ind_m2_growth,Financial,0.14285714285714285,0.007634927002714969
ind_gdp_growth,Financial,0.14285714285714285,0.006516929062821058
ind_44_stock,Financial,0.14285714285714285,2.546504832737953e-4
ind_inflation,Financial,0.14285714285714285,1.5283664825847815e-4
ind_3_aviation,Infrastructure,0.5,0.5560654846291408
ind_elec_pc,Infrastructure,0.5,0.44393451537085915
ind_71_student,Labor,0.2,0.45272917552155845
ind_69_labor,Labor,0.2,0.1956386572250764
ind_unemployment,Labor,0.2,0.1849625884590098
ind_72_tourism,Labor,0.2,0.1517833345583415
ind_lfpr,Labor,0.2,0.01488624423601385
ind_non_oil_share,Sustainability,0.3333333333333333,0.3377041537601522
ind_oil_share,Sustainability,0.3333333333333333,0.33770405711781754
ind_manufacturing_share,Sustainability,0.3333333333333333,0.32459178912203024
ind_52,Trade,0.16666666666666666,0.26506311015520406
ind_51,Trade,0.16666666666666666,0.26433163491253275
ind_55,Trade,0.16666666666666666,0.23827860185131217
ind_56,Trade,0.16666666666666666,0.15678535928733328
ind_63,Trade,0.16666666666666666,0.07225798956236623
ind_64,Trade,0.16666666666666666,0.0032833042312516904
