Country,Rank,Trade,Financial,Labor,Infrastructure,Sustainability,Convergence,Index
BHR,1,71.26,71.94,46.33,69.84,84.09,48.91,65.17
ARE,2,62.85,65.18,29.97,44.93,61.4,71.32,53.86
QAT,3,24.59,52.11,76,62.66,26.32,61.78,51.88
OMN,4,68.25,55.17,45.32,18.62,36,68.11,47.88
KWT,5,26.23,55.12,62.79,44.62,32.41,47.71,45.76
SAU,6,19.84,48.65,30.65,65.98,68.73,56.26,45.52
GCC,NA,32.4945,53.480700000000006,39.1276,57.61570000000001,58.43730000000001,59.4901,48.3344
